handleId,fieldType,Name,Price,SKU,Image,Description,Brand,Colorway,InStock
asics-gt-2160-winter-garden-oatmeal-(women's),Product,ASICS GT-2160 Winter Garden Oatmeal (Women's),120.00,1202A439-250,https://image.goat.com/attachments/product_template_pictures/images/094/121/818/original/1202A439_250.png.png,,ASICS,Oatmeal/Simply Taupe,in_stock
wmns-gel-quantum-90-4-'white-blazing-coral',Product,Wmns Gel Quantum 90 4 'White Blazing Coral',100.00,1202A384-103,https://image.goat.com/attachments/product_template_pictures/images/094/308/045/original/1202A384_103.png.png,,ASICS,White/Blazing Coral,in_stock
wmns-gel-cumulus-24-narrow-'carrier-grey-white',Product,Wmns Gel Cumulus 24 Narrow 'Carrier Grey White',130.00,1012B207-020,https://image.goat.com/attachments/product_template_pictures/images/094/308/013/original/1012B207_020.png.png,,ASICS,Carrier Grey/White,in_stock
gel-quantum-180-7-'asayake-pack---black',Product,Gel Quantum 180 7 'ASAYAKE Pack - Black',130.00,1201A914-001,https://image.goat.com/attachments/product_template_pictures/images/094/308/040/original/1201A914_001.png.png,,ASICS,Black/Cherry Tomato,in_stock
asics-gel-teremoa-kiko-kostadinov-novalis-obsidian,Product,ASICS Gel-Teremoa Kiko Kostadinov Novalis Obsidian Black Smoke Shadow,265.00,1203A331-001,https://image.goat.com/attachments/product_template_pictures/images/094/562/390/original/1203A331_001.png.png,,ASICS,Obsidian Black/Smoke Shadow,in_stock
wmns-gel-quantum-180-7-'asayake-pack---white',Product,Wmns Gel Quantum 180 7 'ASAYAKE Pack - White',130.00,1202A446-100,https://image.goat.com/attachments/product_template_pictures/images/094/308/046/original/1202A446_100.png.png,,ASICS,White/Blazing Coral,in_stock
asics-gt-2160-above-the-clouds,Product,ASICS GT-2160 Above The Clouds,150.00,1203A361-100,https://image.goat.com/attachments/product_template_pictures/images/094/245/006/original/1253637_00.png.png,"The Above The Clouds x ASICS GT 2160 ‘Shamrock Green’ reunites the creative partners on a lifestyle running shoe that made its original debut in 2011. The mixed-material upper features translucent NEXKIN throughout the vamp and midfoot, along with white open-cell mesh around the collar and heel. Metallic silver side stripes are outlined in green trim, matching the eyelets, interior lining and reinforced toe. Custom insoles display ASICS and Above The Clouds branding. Lightweight cushioning arrives via a sculpted EVA midsole with visible GEL inserts in the heel.",ASICS,Cream/Shamrock Green,in_stock
asics-gel-teremoa-kiko-kostadinov-novalis-medallio,Product,ASICS Gel-Teremoa Kiko Kostadinov Novalis Medallion Yellow Honey,265.00,1203A331-750,https://image.goat.com/attachments/product_template_pictures/images/094/562/392/original/1203A331_750.png.png,,ASICS,Medallion Yellow/Honey,in_stock
gel-quantum-360-7-'black-lagoon',Product,Gel Quantum 360 7 'Black Lagoon',160.00,1201A876-003,https://image.goat.com/attachments/product_template_pictures/images/094/308/033/original/1201A876_003.png.png,,ASICS,Black/Lagoon,in_stock
wmns-gt-2000-12-'glow-yellow',Product,Wmns GT 2000 12 'Glow Yellow',140.00,1012B506-750,https://image.goat.com/attachments/product_template_pictures/images/094/230/664/original/1012B506_750.png.png,,ASICS,Glow Yellow/Aquamarine,in_stock
gel-quantum-360-7-'white-illusion-blue',Product,Gel Quantum 360 7 'White Illusion Blue',160.00,1201A876-101,https://image.goat.com/attachments/product_template_pictures/images/094/308/034/original/1201A876_101.png.png,,ASICS,White/Illusion Blue,in_stock
