handleId,fieldType,Name,Price,SKU,Image,Description,InStock
kith-x-marvel-x-gel-lyte-3-'07-remastered-'x-men-6-XMEN-KITH-GL3-ROGUE,Product,Kith x Marvel x Gel Lyte 3 '07 Remastered 'X-Men 60th Anniversary - Rogue',195.00,XMEN-KITH-GL3-ROGUE,https://image.goat.com/attachments/product_template_pictures/images/091/255/692/original/XMEN_KITH_GL3_ROGUE.png.png,"Dropping as part of a seven-piece collection celebrating the 60th anniversary of Marvel Comics’ X-Men franchise, the Kith x ASICS Gel Lyte 3 ‘Rogue’ honors the mutant superhero with the power to absorb a person’s life force through physical contact. The character’s original suit is mirrored in the design of the upper, featuring a dark green suede base with contrasting yellow leather overlays and olive leather side stripes. ‘Fieg’ and ‘X-Men’ are embroidered on the split tongue of each shoe, while custom ‘Rogue’ labels decorate the sockliners. The retro runner rides on an EVA midsole, fitted with Gel cushioning in the heel and supported underfoot by a black rubber outsole.",in_stock
asics-gel-lyte-iii-'07-remastered-kith-marvel-x-me-1201A959-100,Product,ASICS Gel-Lyte III '07 Remastered Kith Marvel X-Men Storm Opened Box (Trading Card Not Included),195.00,1201A959-100,https://image.goat.com/attachments/product_template_pictures/images/091/513/628/original/1249400_00.png.png,"The Kith x ASICS Gel Lyte 3 ‘Storm’ is drawn from a sneaker pack celebrating the 60th anniversary of Marvel Comics’ X-Men franchise. Reflecting Storm’s silvery hair and dark suit, the lifestyle runner features a faux pony hair upper with a white base, grey overlays and black leather side stripes. A custom ‘Storm’ label adorns the sockliner, while mismatched ‘Fieg’ and ‘X-men’ branding is embroidered on the split tongue of each shoe. Lightweight cushioning is provided by a full-length EVA midsole with ASICS’ Gel technology in the heel.",in_stock
kith-x-marvel-x-gel-lyte-3-'07-remastered-'x-men-6-XMEN-KITH-GL3-WOLVERINE-1980,Product,Kith x Marvel x Gel Lyte 3 '07 Remastered 'X-Men 60th Anniversary - Wolverine 1980',195.00,XMEN-KITH-GL3-WOLVERINE-1980,https://image.goat.com/attachments/product_template_pictures/images/091/255/695/original/XMEN_KITH_GL3_WOLVERINE_1980.png.png,"Commemorating the 60th anniversary of Marvel Comics’ X-Men franchise, the Kith x ASICS Gel Lyte 3 ‘Wolverine 1980’ pays homage to the diminutive mutant superhero with self-healing powers. Inspired by the character’s ‘80s-era suit, the upper combines yellow perforated suede with dark brown leather overlays and red leather side stripes. ‘Wolverine’ branding appears on the insole, while ‘X-Men’ and ‘Fieg’ are embroidered on the split tongue of each shoe. Anchoring the sneaker is a white EVA midsole, featuring Gel cushioning in the heel and a black rubber outsole underfoot.",in_stock
asics-gel-lyte-iii-'07-remastered-kith-marvel-x-me-1201A957-751,Product,ASICS Gel-Lyte III '07 Remastered Kith Marvel X-Men Wolverine 1975 Opened Box (Trading Card Not Included),195.00,1201A957-751,https://image.goat.com/attachments/product_template_pictures/images/093/011/514/original/1249396_00.png.png,"The Kith x ASICS Gel Lyte 3 ‘Wolverine 1975’ is taken from a collaborative footwear collection recognizing the 60th anniversary of Marvel Comics’ X-Men franchise. The most limited colorway in the seven-piece pack, this pair is inspired by Wolverine’s original suit and features a yellow perforated suede upper with black leather overlays and blue leather side stripes. In addition to ‘Wolverine’ insoles, unique branding elements include ‘X-Men’ and ‘Fieg’ embroidered on the split tongue of each shoe. The lifestyle runner sits atop a white EVA midsole with Gel cushioning in the heel.",in_stock
asics-gel-lyte-iii-'07-remastered-kith-marvel-x-me-1201A958-400,Product,ASICS Gel-Lyte III '07 Remastered Kith Marvel X-Men Beast Opened Box (Trading Card Not Included),195.00,1201A958-400,https://image.goat.com/attachments/product_template_pictures/images/091/688/502/original/1249402_00.png.png,"The Kith x ASICS Gel Lyte 3 ‘Beast’ is taken from a capsule collection celebrating the 60th anniversary of Marvel Comics’ X-Men franchise. This pair pays homage to the original X-Men character known as Beast, whose signature blue fur is reflected in the hairy pigskin suede upper. Contrasting white accents land on the leather side stripes, molded TPU eyelets, and textile collar lining. In addition to ‘Beast’ sockliners, unique branding elements include ‘X-Men’ and ‘Fieg’ embroidered on the split tongue of each shoe. The lifestyle runner sits atop a white EVA midsole, supported underfoot by a durable black rubber outsole.",in_stock
kith-x-marvel-x-gel-lyte-3-'07-remastered-'x-men-6-XMEN-KITH-GL3-BEAST,Product,Kith x Marvel x Gel Lyte 3 '07 Remastered 'X-Men 60th Anniversary - Beast',195.00,XMEN-KITH-GL3-BEAST,https://image.goat.com/attachments/product_template_pictures/images/091/255/687/original/XMEN_KITH_GL3_BEAST.png.png,"The Kith x ASICS Gel Lyte 3 ‘Beast’ is taken from a capsule collection celebrating the 60th anniversary of Marvel Comics’ X-Men franchise. This pair pays homage to the original X-Men character known as Beast, whose signature blue fur is reflected in the hairy pigskin suede upper. Contrasting white accents land on the leather side stripes, molded TPU eyelets, and textile collar lining. In addition to ‘Beast’ sockliners, unique branding elements include ‘X-Men’ and ‘Fieg’ embroidered on the split tongue of each shoe. The lifestyle runner sits atop a white EVA midsole, supported underfoot by a durable black rubber outsole.",in_stock
kith-x-marvel-x-gel-lyte-3-'07-remastered-'x-men-6-XMEN-KITH-GL3-WOLVERINE-1975,Product,Kith x Marvel x Gel Lyte 3 '07 Remastered 'X-Men 60th Anniversary - Wolverine 1975',195.00,XMEN-KITH-GL3-WOLVERINE-1975,https://image.goat.com/attachments/product_template_pictures/images/091/255/694/original/XMEN_KITH_GL3_WOLVERINE_1975.png.png,"The Kith x ASICS Gel Lyte 3 ‘Wolverine 1975’ is taken from a collaborative footwear collection recognizing the 60th anniversary of Marvel Comics’ X-Men franchise. The most limited colorway in the seven-piece pack, this pair is inspired by Wolverine’s original suit and features a yellow perforated suede upper with black leather overlays and blue leather side stripes. In addition to ‘Wolverine’ insoles, unique branding elements include ‘X-Men’ and ‘Fieg’ embroidered on the split tongue of each shoe. The lifestyle runner sits atop a white EVA midsole with Gel cushioning in the heel.",in_stock
kith-x-marvel-x-gel-lyte-3-'07-remastered-'x-men-6-XMEN-KITH-GL3-STORM,Product,Kith x Marvel x Gel Lyte 3 '07 Remastered 'X-Men 60th Anniversary - Storm',195.00,XMEN-KITH-GL3-STORM,https://image.goat.com/attachments/product_template_pictures/images/091/255/693/original/XMEN_KITH_GL3_STORM.png.png,"The Kith x ASICS Gel Lyte 3 ‘Storm’ is drawn from a sneaker pack celebrating the 60th anniversary of Marvel Comics’ X-Men franchise. Reflecting Storm’s silvery hair and dark suit, the lifestyle runner features a faux pony hair upper with a white base, grey overlays and black leather side stripes. A custom ‘Storm’ label adorns the sockliner, while mismatched ‘Fieg’ and ‘X-men’ branding is embroidered on the split tongue of each shoe. Lightweight cushioning is provided by a full-length EVA midsole with ASICS’ Gel technology in the heel.",in_stock
asics-gel-lyte-iii-'07-remastered-kith-marvel-x-me-1201A960-300,Product,ASICS Gel-Lyte III '07 Remastered Kith Marvel X-Men Rogue Opened Box (Trading Card Not Included),195.00,1201A960-300,https://image.goat.com/attachments/product_template_pictures/images/091/513/665/original/1249395_00.png.png,"Dropping as part of a seven-piece collection celebrating the 60th anniversary of Marvel Comics’ X-Men franchise, the Kith x ASICS Gel Lyte 3 ‘Rogue’ honors the mutant superhero with the power to absorb a person’s life force through physical contact. The character’s original suit is mirrored in the design of the upper, featuring a dark green suede base with contrasting yellow leather overlays and olive leather side stripes. ‘Fieg’ and ‘X-Men’ are embroidered on the split tongue of each shoe, while custom ‘Rogue’ labels decorate the sockliners. The retro runner rides on an EVA midsole, fitted with Gel cushioning in the heel and supported underfoot by a black rubber outsole.",in_stock
asics-gt-2160-dime-arctic-wolf-1201A887-100,Product,ASICS GT-2160 DIME Arctic Wolf,160.00,1201A887-100,https://image.goat.com/attachments/product_template_pictures/images/091/232/221/original/1231861_00.png.png,"The Dime x ASICS GT 2160 ‘Arctic Wolf’ presents the Montreal skate brand’s minimalist interpretation of the retro-inspired lifestyle runner. Finished in a color-fade effect in white and grey, the mesh upper features welded off-white side stripes and a shiny heel overlay in metallic silver. Mismatched ASICS and Dime logos adorn each tongue, while the latter brand gets an additional callout on the lateral heel. Visible Gel cushioning enhances the full-length EVA midsole, accented with a gradient streak of cream, tan and grey.",in_stock
asics-gt-2160-cecilie-bahnsen-mary-jane-black-1203A321-001,Product,ASICS GT-2160 Cecilie Bahnsen Mary Jane Black,200.00,1203A321-001,https://image.goat.com/attachments/product_template_pictures/images/090/612/810/original/1203A321_001.png.png,"The Cecilie Bahnsen x ASICS GT 2160 ‘Black’ brings the Danish designer’s feminine artistry to the lifestyle running shoe. A monochromatic black finish is applied to the upper, crafted from translucent ripstop with floral lines and glossy patent leather overlays. Inspired by a Mary Jane shoe, the reworked build replaces a traditional tongue with a cut-out panel secured with a floral strap and decorative laces. A matching black foam midsole packs visible Gel cushioning in the heel for a comfortable ride.",in_stock
asics-gel-lyte-v-concepts-libertea-1201A943-100,Product,ASICS Gel-Lyte V Concepts Libertea,150.00,1201A943-100,https://image.goat.com/attachments/product_template_pictures/images/090/713/357/original/1236584_00.png.png,"The Concepts x ASICS Gel Lyte 5 ‘Libertea’ showcases a patriotic palette celebrating the 30th anniversary of the lifestyle running shoe. Inspired by Concepts’ ‘Boston Tea Party’ Gel Lyte 3 from 2015, the color-blocked suede upper combines an off-white forefoot with a crimson heel, alongside contrasting navy accents on the tongue, collar and eyestay. The right side of each shoe pairs metallic gold side stripes with a red mesh backdrop, while the opposite side features metallic silver side stripes and navy mesh paneling. Lightweight cushioning is provided by a white EVA midsole, enlivened with a splash of scarlet along the heel.",in_stock
asics-gt-2160-cecilie-bahnsen-mary-jane-metallic-s-1203A321-100,Product,ASICS GT-2160 Cecilie Bahnsen Mary Jane Metallic Silver (Women's),200.00,1203A321-100,https://image.goat.com/attachments/product_template_pictures/images/091/037/229/original/1242411_00.png.png,"The Cecilie Bahnsen x ASICS GT 2160 ‘Pure Silver’ delivers the Danish designer’s couture-inspired take on the lifestyle running shoe. Reimagined as a Mary Jane hybrid, the slip-on features a transparent upper with illustrated floral lines and shiny metallic silver overlays. The tongue is removed, revealing a cut-out panel secured with decorative laces and a Velcro strap with floral embellishments. The sneaker rests on a sculpted foam midsole with ASICS Gel cushioning in the heel.",in_stock
asics-gel-1130-kith-cream-starlight-blue-1201A956-101,Product,ASICS Gel-1130 Kith Cream Starlight Blue,110.00,1201A956-101,https://image.goat.com/attachments/product_template_pictures/images/088/797/947/original/1206923_00.png.png,"The Kith x ASICS Gel 1130 ‘Cream Starlight Blue’ is taken from a collaborative four-piece footwear collection. The lifestyle runner carries an airy white mesh upper with durable synthetic leather overlays in a metallic silver finish. Side stripes in bright teal provide pastel pops of color. The lightweight build rests on a high-rebound SpEVA midsole, fitted with visible ASICS Gel cushioning in the heel. Underfoot, a durable black rubber outsole provides grippy traction.",in_stock
